Round,Account,Stakeholder,Type
25290362,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25290657,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25290785,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25291365,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25291558,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25291783,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25292269,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25292733,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25292744,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25292830,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25293356,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25293464,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25294194,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25294589,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25294811,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25295595,ZXE7KG3EY5LGFTFLR6L37XL2OEYUBLGHKLR4WP57G62TFM6WABWI7S3YGM,Community,VoteAccepted
25191588,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25192472,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25192707,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25193836,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25196143,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25197598,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25198245,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25198531,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25199254,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25200059,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25289108,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25290821,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25290940,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25294356,ZUDMILLDZBZZTPYQXRUEW23U3TWNP6YLFS3E5SQEOEPQL5G4IOIKIUHUHE,Community,VoteAccepted
25191776,ZNSCQF65MOF5VHWJKRLOBZNEAREGOWC3ZLPZXEEYWOWLSMTXYETTD2LJZU,Community,VoteAccepted
25191813,ZNSCQF65MOF5VHWJKRLOBZNEAREGOWC3ZLPZXEEYWOWLSMTXYETTD2LJZU,Community,VoteAccepted
25193453,ZNSCQF65MOF5VHWJKRLOBZNEAREGOWC3ZLPZXEEYWOWLSMTXYETTD2LJZU,Community,VoteAccepted
25195473,ZNSCQF65MOF5VHWJKRLOBZNEAREGOWC3ZLPZXEEYWOWLSMTXYETTD2LJZU,Community,VoteAccepted
25201244,ZNSCQF65MOF5VHWJKRLOBZNEAREGOWC3ZLPZXEEYWOWLSMTXYETTD2LJZU,Community,VoteAccepted
25202159,ZNSCQF65MOF5VHWJKRLOBZNEAREGOWC3ZLPZXEEYWOWLSMTXYETTD2LJZU,Community,VoteAccepted
25289946,ZNSCQF65MOF5VHWJKRLOBZNEAREGOWC3ZLPZXEEYWOWLSMTXYETTD2LJZU,Community,VoteAccepted
25290358,ZNSCQF65MOF5VHWJKRLOBZNEAREGOWC3ZLPZXEEYWOWLSMTXYETTD2LJZU,Community,VoteAccepted
25294782,ZNSCQF65MOF5VHWJKRLOBZNEAREGOWC3ZLPZXEEYWOWLSMTXYETTD2LJZU,Community,VoteAccepted
25294851,ZNSCQF65MOF5VHWJKRLOBZNEAREGOWC3ZLPZXEEYWOWLSMTXYETTD2LJZU,Community,VoteAccepted
25191552,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25191697,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25191735,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25191760,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25193034,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25193453,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25193836,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25195412,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25195580,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25195682,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25195801,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25196236,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25196291,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25196418,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25196726,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25196766,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25197280,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25197504,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25198065,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25199864,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25200932,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25202476,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25288707,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25289939,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25290201,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25290310,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25290510,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25290822,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25291326,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25291448,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25291582,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25291982,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25292307,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25292353,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25292406,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25292521,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25292722,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25293179,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25293307,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25294194,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25294197,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25295558,Z2PHFWPP334DRPLKHGDNU3T5GEDSMJXEBCPRLLQSVOLJHNMACLYYCFKTVU,Community,VoteAccepted
25191567,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockAssembled
25192047,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockAssembled
25193163,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockAssembled
25196200,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockAssembled
25196815,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockAssembled
25199127,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockAssembled
25290822,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockAssembled
25292336,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockAssembled
25295271,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockAssembled
25191567,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockPipelined
25192047,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockPipelined
25193163,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockPipelined
25195703,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockPipelined
25196200,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockPipelined
25196815,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockPipelined
25199127,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockPipelined
25290822,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockPipelined
25292336,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockPipelined
25295271,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,BlockPipelined
25191567,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25192047,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25193163,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25195703,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25195782,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25196200,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25196815,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25199127,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25289097,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25290822,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25292336,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25295271,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,ProposalAccepted
25196815,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,RoundConcluded
25199127,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,RoundConcluded
25295271,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,RoundConcluded
25196815,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,RoundStart
25199127,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,RoundStart
25295271,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,RoundStart
25191160,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191178,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191183,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191237,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191244,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191247,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191264,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191273,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191296,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191310,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191318,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191326,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191401,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191407,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191408,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191446,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191458,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191461,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191470,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191491,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191516,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191526,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191535,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
25191552,YX5KZSZT27L7WZAW7TNONVDZHQQAURJKT4BPRS364KTH2DGMEKLLFOPK3U,Community,VoteAccepted
